Name,Researcher,Verified By,Twitter,Facebook,YouTube,SPLC,Notes
Frank Gaffney Jr.,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/frank-gaffney-jr,
Kevin Strom,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/kevin-strom,
Richard Butler,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/richard-butler,
Billy  Roper,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/billy-roper,
"Eric ""The Butcher"" Fairburn",,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/eric-butcher-fairburn,
Jamie Kelso,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/jamie-kelso,
Michael Boldin,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/michael-boldin,
Kevin DeAnna,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/kevin-deanna,
Matthew Heimbach,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/matthew-heimbach,
J.T. Ready,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/jt-ready,
David  Irving,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/david-irving,
Raymond Cattell,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/raymond-cattell,
Paul Mullet,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/paul-mullet,
Craig Cobb,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/craig-cobb,
Elmer Stewart Rhodes,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/elmer-stewart-rhodes-0,
Tom Metzger,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/tom-metzger,
Willis Carto,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/willis-carto,
Charles Murray,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/charles-murray,
Linda Gottfredson ,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/linda-gottfredson,
Robert Spencer,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/robert-spencer,
Matt Hale,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/matt-hale,
Wayne Lutton,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/wayne-lutton,
Michael Hill,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/michael-hill,
Dan Stein,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/dan-stein,
Pamela Geller,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/pamela-geller,
Gary Demar,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/gary-demar,
Joseph Francis Farah,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/joseph-francis-farah,
Ronald Doggett,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/ronald-doggett,
